абсолютнӧй	абсолютный
лӧсьыда	спокойно
лӧсьыдтӧма	некрасиво
лӧсьыдтӧма	неудобно
лӧсьыдтӧма	нехорошо
лӧсьыдтӧма	неаккуратно
манливӧ	затруднительно
мастера	мастерски
матігӧгӧрын	поблизости
методичнӧя	методично
мирнӧя	мирно
мичаа	хорошо
мольыда	гладко
мудза	устало
мудзӧмпырысь	устало
мусаа	мило
мывкыдтӧма	неблагоразумно
мыжаа	виновато
мыжапырысь	виновато
мыжтӧма	невинно
мынтӧдчана	уклончиво
мышкын	позади
мышкӧ	назад
мышладорсянь	сзади
мышладорті	сзади
мӧвпалана	задумчиво
надвое	надвое
надейнӧя	надёжно
накӧсӧн	косо
наперво	только
наянпырысь	нахально
небурысь	сердито
небыдика	слегка
неважӧн	недавно
невернӧ	неверно
невыліті	невысоко
невылӧ	невысоко
негораа	негромко
недыр	недолго
нежнӧя	нежно
неладнӧ	неладно
нелӧсьыда	нехорошо
немкӧ	тяжело
неногӧн	бестолково
непременнӧ	непременно
